id,book_id,excerpt,spell_id,char_id
163,3,"the ground, another bang — crookshanks flew into the air and back to the earth in a heap, expelliarmus! Harry yelled, pointing his own wand at petti_grew; lupin’s wand flew high into the air and",27,1
164,3,"there with his wand covering black, and then to black himself, crumpled and bleeding at Harry’s feet, expelliarmus! lupin shouted, Harry’s wand flew once more out of his hand; so did the two hermione",27,20
165,4,"him, and threw himself around the headstone, facing voldemort, voldemort was ready, as Harry shouted, expelliarmus! volde_mort cried, avadakedavra! a jet of green light issued from voldemort’s wand just as a jet",27,1
166,4,"no more effect than Harry’s — Harry raised his wand as the spider opened its pincers once more and shouted expelliarmus! it worked — the disarming spell made the spider drop him, but that meant that Harry fell",27,1
167,5,"but merely causing them to jump backward a few paces or wince as the feeble spell whooshed over them, expelliarmus! said neville, and Harry, caught unawares, felt his wand fly out of his hand,",27,17
168,5,"count of three, then — one, two, three — the room was suddenly full of shouts of expelliarmus! : wands flew in all directions, missed spells hit books on shelves and sent them flying into",27,
169,5,"he plunged his hand inside his robes, and his wand was halfway into the air when james shouted, expelliarmus! snape’s wand flew twelve feet into the air and fell with a little thud in the grass behind",27,21
170,5,"overturned his desk in his anxiety to help; pointing his wand wildly at the struggling pair he cried, expelliarmus! both Harry’s and the death eater’s wands flew out of their hands and soared back toward the entrance",27,17
171,5,"risk being caught and punished by filch for being out-of-bounds, he blew his whistle; everybody stopped shouting, expelliarmus! and the last couple of wands clat_tered to the floor, well, that was pretty good,",27,
172,5,"useful — oh please, said zacharias smith, rolling his eyes and folding his arms, i don’t think expelliarmus is exactly going to help us against you-know-who, do you? i’ve used it against him, said",27,
173,6,"drawing his wand as he did so, the door burst open and somebody erupted through it and shouted, expelliarmus! Harry’s body became instantly rigid and immobile, and he felt himself fall back against the tower wall",27,
174,6,"like an unsteady statue, unable to move or speak, he could not understand how it had happened — expelliarmus was not a freezing charm — then, by the light of the mark, he saw dumbledore’s wand",27,
175,7,", but the death eaters — frankly, most people! — would have expected you to attack back! expelliarmus is a useful spell, Harry, but the death eaters seem to think it is your signature move",27,
176,7,". mundungus scrambled up and pulled out his wand; hermione, however, was too quick for him, expelliarmus! mundungus’s wand soared into the air, and hermione caught it, wild-eyed, mundungus dived for the",27,2
177,7,"and if i stunned him and he’d fallen, he’d have died the same as if i’d used avadakedavra! expelliarmus saved me from voldemort two years ago, Harry added defiantly, lupin was reminding him of the sneering",27,
